num_HV,num_AV,avg_dur_HV,avg_dur_AV,avg_wait_HV,avg_wait_AV,avg_loss_HV,avg_loss_AV,avg_len_HV,avg_len_AV,avg_reroute_AV,episode,episode_reward,epsilon
258.0,242.0,139.42248062015503,649.5165289256198,37.39147286821706,88.64876033057851,78.41937984496123,252.22276859504137,844.3298449612404,5547.340537190083,101.5909090909091,1,-32729.782092227168,0.99802
258.0,242.0,155.53875968992247,577.3553719008264,55.35271317829457,75.93801652892562,94.49647286821705,217.40917355371903,844.3298449612403,5078.889628099174,93.05371900826447,2,-61386.43833893635,0.99604
258.0,242.0,137.13178294573643,658.0495867768595,36.15891472868217,79.00826446280992,75.78624031007752,251.0324380165289,844.3298449612404,5688.691611570247,108.6198347107438,3,-42686.422847852205,0.99406
258.0,242.0,138.4418604651163,497.87603305785126,37.66279069767442,58.921487603305785,77.87864341085272,185.29028925619832,844.3298449612404,4402.72611570248,82.34297520661157,4,-39410.965738346655,0.99208
258.0,242.0,143.5503875968992,627.1652892561983,42.84496124031008,90.2892561983471,82.33240310077518,238.87252066115704,844.3298449612404,5465.004462809918,103.32644628099173,5,-70224.05645460608,0.9901
258.0,242.0,149.1201550387597,504.7107438016529,47.81782945736434,65.80165289256199,88.12042635658916,189.25727272727275,844.3298449612403,4408.727809917355,83.3801652892562,6,-39795.01169824036,0.98812
258.0,242.0,153.15503875968992,624.6652892561983,48.32945736434109,94.45454545454545,92.16127906976745,253.9107438016529,844.3298449612403,5226.436157024794,105.96694214876032,7,-52110.22283030578,0.98614
258.0,242.0,148.91860465116278,565.5413223140496,46.395348837209305,91.79338842975207,87.85193798449613,230.77409090909086,844.3298449612403,4720.079876033058,91.20247933884298,8,-53700.5740407996,0.98416
258.0,242.0,138.6124031007752,508.9834710743802,40.251937984496124,59.81404958677686,77.61713178294575,183.53289256198343,844.3298449612404,4587.739049586778,83.79338842975207,9,-33942.31516479188,0.98218
258.0,242.0,140.06589147286823,580.6363636363636,41.34496124031008,77.71487603305785,79.37143410852714,222.79280991735538,844.3298449612404,5021.293925619834,97.47520661157024,10,-32070.503736874914,0.9802
258.0,242.0,138.79457364341084,519.0413223140496,41.48062015503876,61.78099173553719,77.52387596899224,187.0875619834711,844.3298449612403,4574.619214876033,86.2892561983471,11,-34365.00759376022,0.97822
258.0,242.0,150.75193798449612,770.9297520661157,46.07364341085271,117.6198347107438,90.21705426356588,322.38305785123964,844.3298449612403,6306.274876033057,128.05785123966942,12,-63456.06403796919,0.97624
258.0,242.0,125.14728682170542,605.00826446281,28.515503875968992,61.33884297520661,64.08395348837209,215.0645867768595,844.3298449612403,5452.811198347106,101.77272727272727,13,-65655.90480352937,0.97426
258.0,242.0,147.7325581395349,617.9421487603306,45.56976744186046,82.42148760330579,86.93976744186047,237.91925619834709,844.3298449612403,5286.009669421488,100.62396694214875,14,-36299.88865809077,0.97228
258.0,242.0,137.39922480620154,587.9421487603306,37.74031007751938,75.17768595041322,76.6801550387597,221.64314049586778,844.3298449612404,5133.675247933884,103.49173553719008,15,-55693.96295513358,0.9703
258.0,242.0,144.18992248062017,579.6900826446281,43.17054263565891,75.29338842975207,83.04957364341084,223.0571900826446,844.3298449612404,5023.641942148761,96.54545454545455,16,-36340.16634302888,0.96832
258.0,241.0,167.03488372093022,636.3195020746888,60.44186046511628,106.87966804979253,106.0739534883721,265.0898340248963,844.3298449612404,5184.561742738589,107.35269709543569,17,-47636.12710789705,0.96634
258.0,242.0,139.96511627906978,498.21487603305786,42.34496124031008,60.09090909090909,79.19228682170541,177.14520661157027,844.3298449612403,4503.485537190083,78.77272727272727,18,-28997.426914063628,0.96436
258.0,242.0,143.84496124031008,568.6074380165289,46.89147286821706,94.67768595041322,83.40833333333335,227.08487603305787,844.3298449612404,4778.5928512396695,89.36363636363636,19,-37986.574031238655,0.96238
258.0,242.0,151.4031007751938,567.1322314049587,51.82945736434109,96.31818181818181,90.49798449612402,220.6469834710744,844.3298449612403,4815.492644628099,97.51239669421487,20,-43377.123255491235,0.9604
258.0,242.0,143.8875968992248,621.2479338842975,41.47286821705426,84.9090909090909,82.79395348837211,239.58421487603306,844.3298449612403,5335.146404958678,102.34710743801652,21,-48215.44427929095,0.95842
258.0,242.0,139.0077519379845,580.0619834710744,37.9031007751938,78.16528925619835,78.41251937984497,222.58103305785124,844.3298449612403,5016.0147107438015,94.04132231404958,22,-22965.189642272915,0.95644
258.0,242.0,136.8372093023256,600.3429752066115,36.78294573643411,68.58264462809917,75.66193798449612,223.13921487603307,844.3298449612403,5254.297190082644,100.57438016528926,23,-39742.0853125275,0.95446
258.0,242.0,133.45736434108528,548.2272727272727,36.83720930232558,69.82644628099173,73.13220930232558,200.479173553719,844.3298449612403,4893.252148760331,89.70247933884298,24,-33934.51622123192,0.95248
258.0,242.0,123.98837209302326,451.60743801652893,29.348837209302324,38.768595041322314,63.328759689922485,141.43053719008265,844.3298449612404,4345.485371900826,71.86776859504133,25,-46821.66649479547,0.9505
258.0,242.0,140.19379844961242,567.2768595041322,42.91472868217054,82.61157024793388,79.40271317829458,211.45454545454547,844.3298449612404,4910.331528925621,94.28099173553719,26,-47353.1180769251,0.94852
258.0,242.0,139.39147286821705,578.8677685950413,38.85271317829457,65.70247933884298,78.90151162790698,211.28892561983477,844.3298449612404,5132.436487603306,93.86776859504133,27,-52053.88775417538,0.94654
258.0,242.0,139.88372093023256,627.8801652892562,40.94186046511628,87.33471074380165,78.91841085271318,239.25012396694214,844.3298449612405,5402.748966942148,105.28099173553719,28,-45080.240134042426,0.94456
